"ID","Session","TimeRemaining","Misses","Hits","overallAverageMouseSpeed","thresholdedDirectionChanges","ClickFrequency","Level"
"136","sjg7aspo69azd89aylesxn","0","13","42","14.421","175","0.917","3"
"137","dxccwffrqajw3wlxb9qiw","0","1","25","14.566","202","0.433","3"
"138","9wsydd14vlvs6eilw7d8r","0","0","30","13.42","177","0.5","3"
"139","c5i86h3l32jac9wupy8erh","0","1","25","16.629","185","0.433","3"
"140","ctff56pp7rvtokk79gnad","0","4","32","15.869","223","0.6","3"
"141","ctff56pp7rvtokk79gnad","0","4","36","18.883","270","0.667","3"
"142","ctff56pp7rvtokk79gnad","0","7","28","18.331","244","0.583","3"
"143","u2lh8mbl59irberw0xs4f","0","0","22","16.414","173","0.367","3"
"144","8l2l65dckaihparaewd0cj","0","0","27","16.487","218","0.45","3"
"145","m9k6frgo9nkvmymmb0cq9","0","2","27","12.029","204","0.483","3"
"146","8l2l65dckaihparaewd0cj","0","1","31","16.382","188","0.533","3"
"147","fvqg6og8afrd27ihgthn5d","0","8","1","129.595","5","0.15","3"
"148","hnzbhn367j5tnsakh183sr","0","1","32","15.305","136","0.55","3"
"149","430c9n3omnsrv0bj0bzpdk","0","1","34","11.725","139","0.583","3"
"150",,"0","1","24","15.133","147","0.417","3"
"151","hbxfil0zf4s8u0twdjhsxd","0","0","7","16.707","47","0.117","3"
"152","n8zv9k0s568v3hjkh2i9c","0","0","33","14.97","169","0.55","3"
"153","ssbax34sprepsp7izot3h","0","1","21","14.609","171","0.367","3"
"154","ssbax34sprepsp7izot3h","0","1","23","16.552","181","0.4","3"
"155","a01hcyd9wwmgwn7dpovlk","0","0","35","15.01","171","0.583","3"
"156","zydza9fasaj7wvakvdlqh","0","2","28","13.909","165","0.5","3"
"157","ohu91yrwbwnisgf6j5dw","0","1","42","6.072","229","0.717","3"
"158","ohu91yrwbwnisgf6j5dw","0","6","36","6.561","241","0.7","3"
"159","t4t4fqe2ci6dqxf3lp5qj","0","0","27","12.82","141","0.45","3"
"160","t4t4fqe2ci6dqxf3lp5qj","0","0","24","16.823","138","0.4","3"
"161","k2r1i1rkf8ssx9r6cdhds","0","1","41","16.606","162","0.7","3"
