"ID","Session","TimeRemaining","Misses","Hits","overallAverageMouseSpeed","thresholdedDirectionChanges","ClickFrequency","Level"
"106","430c9n3omnsrv0bj0bzpdk","28","0","15","18.476","101","0.469","1"
"107","hbxfil0zf4s8u0twdjhsxd","29","0","15","19.675","73","0.484","1"
"108","n8zv9k0s568v3hjkh2i9c","29","0","15","15.468","100","0.484","1"
"109","ssbax34sprepsp7izot3h","21","1","15","12.066","119","0.41","1"
"110","ssbax34sprepsp7izot3h","21","0","15","14.942","104","0.385","1"
"111","a01hcyd9wwmgwn7dpovlk","29","0","15","14.449","83","0.484","1"
"112","zydza9fasaj7wvakvdlqh","25","0","15","14.896","89","0.429","1"
"113","ohu91yrwbwnisgf6j5dw","25","1","15","7.931","180","0.457","1"
"114","ohu91yrwbwnisgf6j5dw","30","1","15","6.957","181","0.533","1"
"115","t4t4fqe2ci6dqxf3lp5qj","23","1","15","16.529","102","0.432","1"
"116","t4t4fqe2ci6dqxf3lp5qj","22","0","15","13.718","87","0.395","1"
"117","k2r1i1rkf8ssx9r6cdhds","27","1","15","13.261","83","0.485","1"
"118","8xtdtqlnl4ml0a55uiwrq","0","0","5","557.453","3","0.083","1"
"119","fv0e4ccodvfx95kkdbcozf","28","0","15","13.177","108","0.469","1"
"120","si1leok2jsohrqqqmhvqui","26","0","15","16.648","135","0.441","1"
"121","si1leok2jsohrqqqmhvqui","29","1","15","19.229","98","0.516","1"
"122","ssqufbeil7rav0sbqilgrj","27","0","15","13.186","122","0.455","1"
"123","940vm64vx4ojtr56p2isz","28","0","15","13.689","126","0.469","1"
"124","archa5200lm3q163motygh","16","1","15","342.328","14","0.364","1"
"125","ip6rtep9qdqaouxedm1s","26","0","15","14.8","56","0.441","1"
"126","dm0wwzqr486nm4dvep77c","29","0","15","15.112","103","0.484","1"
"127","q5mkkzqb8r28eyu0ifoql","19","0","15","18.477","116","0.366","1"
"128","6jcdlinak7jqvvtd94s4gj","25","2","15","18.354","133","0.486","1"
"129","j7z82u9lepdvluy4iw9nn","0","22","0","77.847","15","0.367","1"
"130","lifhnnr53rbfwh9bcdcwg","30","0","15","15.557","88","0.5","1"
"131","tsgfjnwfnjasc81i0yud","27","3","15","8.938","157","0.545","1"
"132","kwjekkoqhbrtzexrr7p5l","11","5","15","349.758","17","0.408","1"
"133","zw6angvwujq8j42ceivi79","4","0","15","10.777","155","0.268","1"
"134","p4x0x19nxz3nntky6fhrr","20","1","15","13.452","94","0.4","1"
"135","sbk0be21inl4q0dudq5ajb","29","0","15","13.686","123","0.484","1"
"136","ooztkbw0ncf08ggrtihh2kp","30","0","15","1.567","52","0.5","1"
"137","6mthqqg1e8vj3qu7i61a3l","25","0","15","16.561","95","0.429","1"
"138","2pafe5llxz5jgkvmp50we","31","1","15","14.418","62","0.552","1"
"139","llgg9nempnuxcwc8arx1e","33","0","15","15.119","70","0.556","1"
"140","iydxdv7rztoa1pove6f9ce","35","0","15","14.82","68","0.6","1"
"141","eti05sm1g9tv7pcqmbo1tf","32","1","15","15.011","74","0.571","1"
"142","uqkeq5k8fleu47d5j3rpjp","32","1","15","16.583","82","0.571","1"
"143","jnfm406e4kk0fpb74t4vdo9","32","2","15","13.801","83","0.607","1"
"144","fanhnwcphc55hxd9a85enb","30","3","15","13.747","99","0.6","1"
"145","6o7opuifq52y1fpsk7qx4","29","1","15","13.131","72","0.516","1"
"146","xf1o18903srqrcfhbmrgdd","29","2","15","14.519","69","0.548","1"
"147","ovwb9uftl3o3gz4ncgf8km","25","7","15","14.12","76","0.629","1"
"148","icn1017y1mmf9co53ce8u","35","3","15","16.476","79","0.72","1"
"149","wtrerxqquox9otefmgy9a","32","1","15","16.454","91","0.571","1"
"150","agijq6siu42dp3pjk6vep","28","0","15","14.43","101","0.469","1"
"151","mzpx9ramjbdn0niailxvzg","33","4","15","14.844","72","0.704","1"
"152","vxcn4n1hp5nkduc0qb5jmc","28","4","15","1.536","20","0.594","1"
"153","pjllhjb7pz6ghnp2ojaw","30","2","15","13.059","75","0.567","1"
"154","9uaqyil6rhdeislbc7lw1","26","0","15","9.547","56","0.441","1"
"155","fs5nft5gband28xxs4vryb","30","1","15","18.624","61","0.533","1"
"156","51de7vhrvaprsoobbtbv4","31","0","15","18.948","61","0.517","1"
"157","5ulsv5nl7euk5dfjr8p8sc","28","7","15","13.546","69","0.688","1"
"158","rj209v678cbe83010bap2b","27","5","15","20.137","83","0.606","1"
"159","bam5jhi3q2h6orvg8qymzm","29","1","15","21.712","98","0.516","1"
"160","wsejglkv1ko5tzy64f6dxq","27","7","15","15.707","99","0.667","1"
"161","jn43at34zhcqa6ca31ane8","29","9","15","19.385","124","0.774","1"
"162","83k6ojgohuxlj7dorly32c","27","1","15","11.081","69","0.485","1"
"163","0w6t2jiu923kili79wmg5n","32","1","15","14.785","82","0.571","1"
"164","i1utooe6iyjl98mduen9ml","30","6","15","20.956","84","0.7","1"
"165","s6oeaqq3nz3bk8yjjn2dq","34","1","15","15.785","58","0.615","1"
"166","sj5c8tai4zez0cq1zwqgqs","29","8","15","1.773","80","0.742","1"
"167","y8vns2cwvdgr5lji153mf","29","6","15","15.568","82","0.677","1"
"168","noomyt7bdlgpz251yjo8sj","31","3","15","15.844","86","0.621","1"
"169","vsq5q7gidhr67hhwg5wdto","31","0","15","9.911","51","0.517","1"
"170","sginoi8d1kq5nrcmh0e61d","30","2","15","17.92","118","0.567","1"
"171","2dzb4xl2a3tbwdjj4d18n6","29","4","15","16.316","101","0.613","1"
"180","nt9mp7mpsljg5i01lmmcr","30","6","15","1.771","101","0.7","1"
"181","4sjhpbpz9zy2c03euvhkix","32","3","15","18.781","87","0.643","1"
"182","5si6mzma8orl0g91u2odet","29","2","15","21.43","120","0.548","1"
"183","1bq8zhdgag2zre5xcmxs8o","29","5","15","17.557","104","0.645","1"
"184","bs3h38j4cikpf2mb604q3","31","1","15","15.669","79","0.552","1"
"185","j1grisz81tqy6bplbgzyv","32","3","15","1.771","75","0.643","1"
"186","j1grisz81tqy6bplbgzyv","32","2","15","1.896","57","0.607","1"
"187","3b7lookgf9ulz7dke3dmz8","31","1","15","2.105","56","0.552","1"
"188","l238ig2lcitthtqoitqf","31","4","15","1.889","131","0.655","1"
"189","89krx5ua1z6l67ndip8sgb","36","1","15","19.115","58","0.667","1"
"190","0hr0qvt3cbjjj8btx23e9d9","33","2","15","14.153","58","0.63","1"
"191","sbze12pcm8wyzamcb55x","26","6","15","1.767","84","0.618","1"
"192","b5tgtkjhq8lmmp5uye6kw","34","0","15","16.392","66","0.577","1"
"193","nlpmm49ruj89g9iq6pt2nk","32","2","15","1.873","91","0.607","1"
"194","xg9jjx9is0jaquwv98ch8v","27","1","15","1.647","42","0.485","1"
"195","80eal0ez1id5lycsxeqooi","34","2","15","1.919","150","0.654","1"
"196","8dr1fzzymhe4w4eqn6lrqi","33","0","15","1.719","50","0.556","1"
"197","51dg379y5r4mb7hpvnt7","33","1","15","15.319","61","0.593","1"
"198","51dg379y5r4mb7hpvnt7","32","1","15","1.987","104","0.571","1"
"199","hkhum8xz0ilp0uy4qmd3m","19","0","15","13.888","188","0.366","1"
"200","ej0iq3uklwh4r04pq9w4u3","36","1","15","14.179","42","0.667","1"
"201","j238x75z2jbtv7m9fbtxu","27","0","15","11.274","60","0.455","1"
"202","whkyhn3kjmbj1anc8d1a9g","32","1","15","17.439","76","0.571","1"
"203","4j0orgxvjq9kany58o26l","32","5","15","17.428","93","0.714","1"
"204","ogh6cyopu3o0v2rrsvi8l9b","23","0","15","11.531","107","0.405","1"
"205","nq88hdfjng9zqcscp4n1t","18","2","15","13.746","76","0.405","1"
"206","acbtu6fh1hgjdxisuznsi","31","0","15","5.486","142","0.517","1"
"207","nyj4wp16vcfgb9pbnbhz5p","29","1","15","14.412","102","0.516","1"
"208","7tvu7m5u0lyp8rojcfdhcf","31","0","15","14.488","97","0.517","1"
"209","qoapy8h1z79fupj7zyd115","34","0","15","27.988","102","0.577","1"
"210","w8y5pp12k3mfyr0bapy6l8","35","0","15","8.223","163","0.6","1"
"211","idi4gvl7tm6gysj1bzyla","27","1","15","13.457","108","0.485","1"
"212","3s2blvio587mq2y45u5e8","26","0","15","21.351","108","0.441","1"
"213","7nvklvlbmbfrtr07q5ujl","29","0","15","17.403","85","0.484","1"
"214","7nvklvlbmbfrtr07q5mwx","33","0","15","16.496","68","0.556","1"
"215","i4plwh5zckefrdv6mj2714","31","0","15","13.671","104","0.517","1"
"216","t7mkykciechftucovqqxsa","33","1","15","7.857","125","0.593","1"
"217","zsywsauesvzz4m87uxleg","35","1","15","16.784","65","0.64","1"
"218","ahhmoxqxv8ndfg5s5r4w05","0","6","12","279.859","15","0.3","1"
"219","kw9oa3l9ka8f9q6elqoxwd","0","45","0","153.308","29","0.75","1"
"220",,"21","1","15","431.984","14","0.41","1"
"221","3kt81s4iukrr4g7aaukrj","31","0","15","17.525","107","0.517","1"
"222","lz9skcz11wozj39f4wjl1","0","8","3","363.869","8","0.183","1"
"223","lz9skcz11wozj39f4wjl1","0","2","7","492.262","7","0.15","1"
"224","wzo7tqcy9e8x813pau7uj","30","1","15","13.411","95","0.533","1"
"225","psojflowbjjl0cztr2mkmb","29","2","15","14.538","75","0.548","1"
"226","1vot11bn62oqolf9mhgoi","14","19","15","15.431","167","0.739","1"
"227","8985tj2dmrrizgmjvg4mw","31","1","15","8.794","90","0.552","1"
"228","i7mxg5bzabr1h9pir7292l","29","9","15","19.14","95","0.774","1"
"229","11qd3jd0vak311i41tohzp","33","0","15","15.304","77","0.556","1"
"230","gtcn7hn356pssnli18i9n","31","2","15","1.804","64","0.586","1"
"231","jhaam397r7zbuhbgn4ecd","27","5","15","24.945","80","0.606","1"
"232","6p47nsnxq1qz0g7kg0fv1","34","1","15","18.134","87","0.615","1"
"233","9b8pdtnyp67jze1ahk8s0f","26","0","15","17.718","92","0.441","1"
"234","xyi4c6ca1dk1kqqt5qaplu","31","2","15","8.669","108","0.586","1"
"235","4dgu455kql3kk98wjv8mug","20","0","15","14.391","120","0.375","1"
"236","dnts23dokpij0h4yw1os","31","1","15","15.64","102","0.552","1"
"237","au8ogzamrzsneq8hyq1rrf","35","1","15","16.051","80","0.64","1"
"238","j5vimaebsk9jmcnnno8wyq","21","1","15","14.285","109","0.41","1"
"239","jlfcp61mv6nsu49erwpa","28","0","15","12.076","87","0.469","1"
"240","jlfcp61mv6nsu49erwpa","26","0","15","15.747","109","0.441","1"
"241","j5vimaebsk9jmcnnno8wyq","26","0","15","13.567","113","0.441","1"
"242","jlfcp61mv6nsu49erwpa","28","0","15","17.446","72","0.469","1"
"243","s00gz3ulr5ak425cvf3g","0","41","13","12.036","224","0.9","1"
"244","9cejc7g7umunofu8b019uq","27","0","15","16.8","137","0.455","1"
"245","0vwd0y9uk4ng7l14tr1wmww","25","2","15","11.465","88","0.486","1"
"246","ajenwx90oabt6r5t8gtqhe","23","1","15","19.934","101","0.432","1"
"247","x5omgy5udrnhy53k8sr18l","0","10","3","231.747","10","0.217","1"
"248","0vwd0y9uk4ng7l14tr1wmww","23","2","15","13.36","87","0.459","1"
"249","0vwd0y9uk4ng7l14tr1wmww","22","3","15","12.295","112","0.474","1"
"250","zve7ml29g33vyujb6he4c","28","0","15","11.369","65","0.469","1"
"251","0vwd0y9uk4ng7l14tr1wmww","26","0","15","14.113","85","0.441","1"
